Company,Description,Employees 2025,Employees 2026,Growth,Hires,Sector,Headquarters,Website
Battri,Recyclage des batteries lithium-ion,11,26,237%,15,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Hauts-de-France,abby.fr
Kolecto,La solution de gestion des TPE-PME qui font l'économie française,47,136,189%,89,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,kolecto.fr
Foodflow,"Néodistributeur pour les professionnels de la restauration simple, rapide et transparent",19,54,184%,35,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,FoodFlow.com
Qevlar Ai,Plateforme SOC IA qui n’hallucine pas,16,45,181%,29,"DeepTech (IA, Cybersecurity, Cloud, ...)",Île-de-France,qevlar.com
Getvocal Ai,Gagnez la confiance de vos clients avec des agents hybrides humain-IA,19,53,179%,34,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,getvocal.ai
Reusses,Confiez les vêtements que vous ne portez plus à une de nos reusses. *Statut VDI intégré,200,550,175%,350,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,reusses.com
Mistral Ai,IA de pointe. Entre vos mains.,270,687,154%,417,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,mistral.ai
Revolt.Eco,Le système d'exploitation des installateurs de la transition énergétique,10,25,150%,15,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,revolt.eco
Tomorro,"La gestion de contrats, à l’ère de l’IA",73,180,146%,107,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,tomorro.com
Hexana,Système nucléaire modulaire et flexible de 4e génération,25,60,140%,35,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Provence-Alpes-Côte d’Azur,hexana.fr
Spore.Bio,La nouvelle technologie de tests microbiologiques ultra-rapides basée sur l’IA,18,43,139%,25,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,Spore.bio
Dust,Le système d’exploitation pour agents IA,47,112,138%,65,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,dust.tt
Noota,L'IA faite pour les recruteurs.,14,33,136%,19,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,noota.io
Konectiv,"Portage salarial en combinant un accompagnement humain sur-mesure, transparence des frais et outils digitaux performants pour faire de l’indépendance un accélérateur de carrière",45,102,127%,57,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Provence-Alpes-Côte d’Azur,konectiv.fr
Spiko,Rémunérez votre trésorerie au taux sans risque,12,27,125%,15,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,spiko.io
Kenko,L'assurance qui s’adapte à la santé de vos collaborateurs,14,31,121%,17,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,kenko.fr
Tilt,Révélez tout le potentiel de la flexibilité électrique,10,22,120%,21,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,tilt-energy.com
Rosk,L'application des professionnels de la restauration,13,28,115%,15,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,rosk.com
Cureety,"Cureety accompagne les patients, les professionnels de santé, et les chercheurs dans leur lutte contre le cancer.",40,85,113%,45,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,cureety.com
Tamtam,Les agents IA pour la vente complexe,10,21,110%,11,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,tamtam.ai
Reelevant,Personnaliser l'expérience client automatiquement,12,25,108%,13,"MarTech (Ad-Tech, Marketing Automation, CRM, DMP & Analytics, SEO, ...)",Île-de-France,reelevant.com
Electra,Réseau de recharge ultra rapide pour véhicule électrique partout en Europe,125,254,103%,129,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,go-electra.com
Raidium,L’IA universelle pour la radiologie,20,40,100%,20,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,raidium.eu
Upway,L'expert du vélo électrique reconditionné,50,100,100%,50,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,upway.shop
Harmattan Ai,Construire l’avenir de la guerre autonome,50,96,92%,46,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,harmattan.ai
Diagnoly,Diagnostics échographiques fœtaux par IA / transformer le dépistage obstétrical,10,19,90%,9,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Auvergne-Rhône-Alpes,diagnoly.com
Malibou,Logiciel RH et paie tout-en-un pour les PME européennes,18,33,83%,15,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,malibou.co
Sora,Réinventons la sous-location,11,20,82%,9,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,sora.space
Aive,Le copilote IA créatif qui automatise la production vidéo,31,56,81%,25,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,aive.com
Luniwave,Mettez en avant vos actions RSE et récompensez vos clients,10,18,80%,8,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,luniwave.com
MyUnisoft,La première plateforme dédiée aux experts-comptables 100% souveraine,124,223,80%,99,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,myunisoft.fr
Infinite Orbits,Façonner l’avenir des services en orbite,57,102,79%,45,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Occitanie,infiniteorbits.io
Ncodin,Un interposeur optique,19,34,79%,15,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,ncodin.com
Akteo,AKteurs de la décarbonation,26,46,78%,20,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Pays de la Loire,akteo.fr
Favikon,Plateforme de marketing d’influence B2B propulsée par l’IA,101,178,76%,77,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,favikon.com
Vizzia,Le partenaire des collectivités,42,74,76%,32,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,vizzia.fr
Yneuro,Plongez dans le futur de l’authentification personnelle,12,21,75%,9,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,www.yneuro.com
Look Up Space,Protéger les actifs et les opérations spatiales pour une vie meilleure sur terre,65,112,72%,47,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Occitanie,lookupspace.com
Leakmited,"Réduisez durablement les pertes d’eau de votre réseau, sans risque pour votre budget.",27,46,70%,19,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,leakmited.com
Witivio,Nous créons des solutions IA pour Microsoft 365,23,39,70%,16,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,witivio.com
Toporder,La caisse enregistreuse des commerces modernes,27,46,70%,19,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,toporder.fr
Sustainsoft,La conformité ESG simplifiée,10,17,70%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,sustainsoft.eu
Delivery Car,Convoyage de vos véhicules,36,61,69%,25,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,deliverycar.fr
Cercle Des Langues,Prenez plaisir à parler une nouvelle langue,58,97,67%,39,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,cercledeslangues.com
Gen-Hy,Solutions hydrogène,15,25,67%,10,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,gen-hy.com
Skynopy,Le service de station sol de bout en bout,18,30,66%,12,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,skynopy.com
Legalplace,Lancez votre entreprise dès aujourd'hui,182,301,65%,119,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,legalplace.fr
Dfns,Contrôlez tout ce que vous construisez et exécutez sur les blockchains partout dans le monde.,20,33,65%,13,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,dfns.co
One Biosciences,Médecine de précision haute résolution,22,36,64%,14,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,onebiosciences.fr
Nova Carbon,Composites en fibre de carbone durables haute performance,14,23,64%,9,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Nouvelle-Aquitaine,nova-carbon.com
Maki,Scaler vos recrutements parfaitement,73,120,64%,47,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,makipeople.com
Muchbetter,Leader français de l’entrainement commercial grâce à l’IA,19,31,63%,12,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,muchbetter.ai
Skarlett,"Après 60 ans, boostez vos finances",26,42,62%,16,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,skarlett.fr
Pictarine,"Application qui permet de modifier et d'imprimer des photos en 3 clics, partout aux Etats-Unis",75,120,60%,45,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Occitanie,pictarine.com
Alice & Bob,Construire le premier ordinateur quantique universel,135,216,60%,81,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,alice-bob.com
Intact,Protéines végétales et produits de fermentation régénératifs,27,43,59%,16,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Pays de la Loire,intact-regenerative.com
Jimo,Une IA qui onboard vos utilisateurs à votre place.,12,19,58%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,usejimo.com
Mantra,Sensibilisez et protégez vos collaborateurs en temps réel,33,52,58%,19,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,mantra.ms
Ouihelp,Service d'aide à domicile,488,770,58%,282,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,ouihelp.fr
Lumeen,"Lumeen, la réalité virtuelle humaine et thérapeutique.",21,33,57%,12,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Auvergne-Rhône-Alpes,lumeen.com
Bleu,"Entreprise de services cloud, française, indépendante.",17,27,57%,10,"DeepTech (IA, Cybersecurity, Cloud, ...)",Île-de-France,bleucloud.fr
Wealthcome,La technologie au service de votre conseil patrimonial.,25,39,57%,14,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Nouvelle-Aquitaine,wealthcome.fr
Aviwell,Exploiter notre plateforme de découverte révolutionnaire pour nourrir la planète,16,25,56%,9,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Occitanie,aviwell.fr
Generare Bioscience,"Découverte de molécules naturelles, (ré)industrialisée",18,28,56%,10,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,generare.bio
Bwi,Anticiper la dynamique des rivières pour mieux décider en gestion de l’eau.,22,34,55%,12,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Occitanie,bwi.earth
Phagos,L'alternative naturelle aux antibiotiques,33,51,55%,18,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,phagos.org
Emyosound,La transformation est en vue,13,20,54%,7,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,emyosound.com
Valueco,Aligner valeurs et valorisations pour un système financier responsable,24,37,54%,13,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,valuecometrics.com
Naboo,Solutions d'achat IA pour l'événementiel d'entreprise,135,208,54%,73,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,naboo.app
Interfast,Le logiciel de gestion des entreprises du bâtiment,17,26,53%,9,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,inter-fast.co
Rockfi,La nouvelle gestion privée.,36,55,53%,19,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,rockfi.fr
Fabriq,La solution tout-en-un pour l’excellence opérationnelle,89,136,53%,47,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,fabriq.tech
Ray Studios,Des centres 100% dédiés au détatouage laser,36,55,53%,19,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,ray-studios.com
Solteo,Operating system des installateurs d’énergies renouvelables. Plateforme tout-en-un qui optimise les projets ENR.,17,26,53%,9,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,solteo.fr
H Company,Pionnier du futur de l’IA autonome et agentique.,211,321,52%,110,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,hcompany.ai
Ensol,Achetez ou louez votre installation solaire,50,76,52%,26,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,goensol.com
Renaissance Fusion,"Les réacteurs de fusion les plus efficaces, réguliers et stables au monde.",63,95,51%,32,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Auvergne-Rhône-Alpes,renfusion.eu
Joko,"Joko vous aide à acheter plus vite, moins cher et sans prise de tête",109,165,51%,56,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,joko.com
Seavium,Affrètement offshore par IA. Plus intelligent. Plus rapide. Plus vert.,10,15,50%,5,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Provence-Alpes-Côte d’Azur,seavium.com
Wattmen,"Une électricité responsable : produite pour durer, pensée pour être stockée",12,18,50%,6,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Auvergne-Rhône-Alpes,wattmen.fr
Altrove,Découverte de nouveaux matériaux par IA pour résilience et performance,16,24,50%,8,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,altrove.ai
Theremia,Médecine de précision en neurologie et psychiatrie boostée à l'IA,10,15,50%,5,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,theremia.health
Santafoo,"Faites vos courses : les meilleurs produits, les plus proches de chez vous",14,21,50%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Provence-Alpes-Côte d’Azur,Santafoo.fr
Doctrine,La 1re plateforme d'IA juridique en Europe.,150,225,50%,75,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,doctrine.fr
Diablocom,Solutions cloud IA pour l'expérience client,158,237,50%,28,"DeepTech (IA, Cybersecurity, Cloud, ...)",Île-de-France,diabolocom.com
Stoik,Assurance et cybersécurité,93,139,49%,46,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,stoik.io
Chift,Connectez vos logiciels financiers en un clic,23,34,48%,11,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,chift.eu
Solarock,Votre installateur de panneaux solaires local,17,25,47%,8,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,solarock.fr
Neoline,Transport maritime à la voile.,28,41,46%,13,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Pays de la Loire,neoline.eu
73 Strings,Augmenter l’intelligence. Créer de la valeur.,203,297,46%,94,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,73strings.com
Hyprspace,"Le premier moteur-fusée hybride scalable, combinant simplicité, robustesse et réactivité",76,111,46%,35,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Nouvelle-Aquitaine,hypr-space.com
Bacta,Bioproduction propulsée par l’IA pour des ingrédients industriels,11,16,45%,5,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,bacta.life
Pronoe,Restaurer la capacité naturelle de l’océan à capter et stocker durablement le CO2,11,16,45%,5,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,pronoe.earth
Pennylane,"L'outil qui réunit vos finances, votre comptabilité et votre compte pro",644,934,45%,290,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,pennylane.tech
Skillcorner,Boostez la prise de décision dans le sport.,45,65,44%,20,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,skillcorner.com
Alloreview,"Collectez plus de feedbacks, plus qualitatifs, par la voix.",16,23,44%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,alloreview.com
Omnyai,Libérez votre e-commerce,16,23,44%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,get-omny.com
Bonx,Reprenez le contrôle de votre ERP,25,36,44%,11,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,bonx.tech
Marble,Automatisation fraude & conformité propulsée par l’IA,195,281,44%,86,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,checkmarble.com
Hummink,Impression de haute précision pour l’électronique avancée et au-delà,16,23,44%,7,"DeepTech (IA, Cybersecurity, Cloud, ...)",Île-de-France,hummink.com
Le Drive tout nu,"Réseau de supermarchés zéro déchet en physique, en drive et livraison",41,59,43%,18,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Occitanie,ledrivetoutnu.com
May,Offrez de la rémunération 100% exonérée à vos salariés,89,127,43%,38,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,may.fr
Ealico,La meilleure façon de gérer vos contrôles,19,27,42%,8,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,ealico.com
Tarmac Technologies,Optimisation des opérations sol pour le transport aérien,12,17,42%,5,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,tarmactechnologies.com
Photoroom,Créez des visuels pro qui vendent,460,649,41%,189,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,photoroom.com
Assentis,L’expert qui vous décrypte l’assurance,39,55,41%,16,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,assentis.fr
Nutripure,Compléments alimentaires naturels pour votre santé,71,100,41%,29,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Occitanie,nutripure.fr
Klark,"Renforcez votre équipe support avec notre intégration rapide à vos outils, pensée pour les acteurs du e-commerce.",17,24,41%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Nouvelle-Aquitaine,klark.ai
Koralplay,Éditeur de jeux de casinos et paris sportifs,60,84,40%,24,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Pays de la Loire,koralplay.com
Sunday,L’expérience de paiement qui fait gagner du temps et génère 5× plus d’avis Google.,182,253,39%,71,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,sundayapp.com
Chez Daddy,Mieux vieillir dans une ville attentive aux aînés,32,44,38%,12,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Auvergne-Rhône-Alpes,entourage-solidaire.fr
Kraaft,L'app 7 en 1. Le WhatsApp des chantiers.,45,62,38%,17,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,kraaft.co
Tengo,Gagnez enfin plus d’appels d’offres publics,16,22,38%,6,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,tengo.cc
Boonty,"Boostez votre programme de fidélité, dès le paiement",16,22,38%,6,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Nouvelle-Aquitaine,boonty.io
Sirius Space Services,Accès à l’espace. Redéfini.,91,126,38%,35,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,sirius-space.com
Trace For Good,"Connaissez vos produits, engagez vos fournisseurs, connectez vos clients.",13,18,38%,5,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,traceforgood.com
Exo,Un outil certifié pour une agriculture pérenne,19,26,37%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,exo.expert
Aplo,Prime brokerage d’actifs digitaux pour institutions financières.,19,26,37%,7,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,aplo.io
Afterdata,Intelligence artificielle pour la conformité,19,26,37%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,afterdata.com
Webyn,"Optimisation de votre site web, automatiquement via l’IA",22,30,36%,8,"MarTech (Ad-Tech, Marketing Automation, CRM, DMP & Analytics, SEO, ...)",Île-de-France,webyn.ai
Indy,Simplifiez bien plus que votre comptabilité,235,320,36%,85,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,indy.fr
Otrera,Redéfinir le nucléaire pour un futur durable,28,38,36%,10,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Provence-Alpes-Côte d’Azur,otrera.fr
Deeplife,Jumeau numérique des cellules pour la découverte de médicaments,25,34,36%,9,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,deeplife.co
Safesanté,La téléconsultation ultra performante,22,30,36%,8,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Provence-Alpes-Côte d’Azur,safesante.fr
Hapni,Réseau d'établissements spécialisés en médecine du sommeil,11,15,36%,4,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,hapni.net
Dashdoc,L'IA au service du logiciel de transport routier,88,120,36%,32,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,dashdoc.com
Strangebee,Renforcez votre réponse aux incidents de sécurité,50,68,36%,18,"DeepTech (IA, Cybersecurity, Cloud, ...)",Île-de-France,strangebee.com
