Company,Description,Employees 2025,Employees 2026,Growth,Hires,Sector,Headquarters,Website
Spark Cleantech,Transformer les émissions de carbone en matériaux carbone,26,35,35%,9,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,spark-cleantech.eu
Citizenplane,Système d’exploitation pour compagnies aériennes innovantes,49,66,35%,17,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,CitizenPlane.com
Milango,Rêvez grand. Nous vous accompagnons ! Solutions e-commerce & marketplace,26,35,35%,9,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,milango.io
Jib,Solutions technologiques qui favorisent l’autonomie des personnes en situation de handicap moteur,92,124,35%,32,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,jib-home.com
Dedale Intelligence,La source de référence pour le renseignement stratégique en technologie,264,357,35%,93,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,dedale.com
Lite,Votre premier geste pour la planète commence chez vous.,17,23,35%,6,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,lite.eco
Manaos,La plateforme de services d’investissement durable,140,189,35%,49,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,manaos.com
Qualineo,Le logiciel qualité des établissements de santé pensé pour vous,27,36,35%,9,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Hauts-de-France,qualineo.io
Le Fourgon,Le Fourgon est un service e-commerce de livraison de produits consignés,325,437,34%,112,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,lefourgon.com
Mila,Assureur français spécialisé dans l’immobilier.,67,90,34%,23,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,mila.fr
Mini Green Power,Des mini centrales vertes innovantes pour produire de l’énergie bas carbone et séquestrer du CO2,29,39,34%,10,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Provence-Alpes-Côte d’Azur,minigreenpower.com
Leviia,"Solutions de stockage cloud souveraines, sécurisées, à des prix justes et transparents.",24,32,33%,8,"DeepTech (IA, Cybersecurity, Cloud, ...)",Île-de-France,leviia.com
Opisto,Le spécialiste des pièces auto d’occasion,69,92,33%,23,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Occitanie,opisto.fr
Capsens,L'agence web n°1 des fintechs,50,67,33%,17,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,capsens.eu
Octopus Energy,Energéticien tech,340,450,32%,110,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,octopusenergy.fr
Spliit,La recherche de bureaux repensée pour vous.,25,33,32%,8,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,spliit.fr
Dastra,"Optimisez la gestion de la conformité règlementaire (RGPD, e-privacy, AI Act, NIS2, DORA)",31,41,32%,10,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,dastra.eu
Everdye,"Les couleurs les plus tendance, sans brûlure.",28,37,32%,9,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,everdye.fr
Flowdesk,En service 24/7/365 avec les plus grands émetteurs de tokens et institutions.,151,199,32%,48,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,flowdesk.co
Signitic,Libérez la puissance de vos signatures mails,16,21,31%,5,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,signitic.com
Pimpant,"Vos produits du quotidien rechargeables, efficaces et sensoriels",68,89,31%,21,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Normandie,pimpant.com
Ghs,"Outils de gestion sociale innovants, pensés pour les secteurs à contrats courts",111,145,31%,34,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,ghs.fr
Ecodrop,"Solution rapide, économique et éco-responsable de collecte et dépôt de déchets de chantier",49,64,31%,15,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,ecodrop.net
Rivrs,"Ensemble, nous créons des jeux UGC de haute qualité sur toutes les plateformes sandbox tendance",45,59,31%,14,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Bretagne,rivrs.io
Ublo,"Ublo, votre logiciel de gestion immobilière",29,38,31%,9,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,ublo.immo
Jus Mundi,Agent IA pour le droit international et l’arbitrage,102,133,30%,31,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,jusmundi.com
Hyppo,Expert en financement et refinancement patrimonial,10,13,30%,3,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,hyppo.immo
Deephawk,Intelligence artificielle nouvelle génération,10,13,30%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Bretagne,deephawk.ai
Hairdex,Reprenez en main vos cheveux,10,13,30%,3,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,hairdex.fr
Aml Factory,Simplifiez vos processus de compliance LCB-FT,10,13,30%,3,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,aml-factory.com
Pinpo,Maximisez vos ventes grâce aux meilleurs AI sales specialists du marché,10,13,30%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,pinpo.fr
Expliseat,Solutions de sièges 40% plus légers pour l’aviation,90,117,30%,27,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,expliseat.com
Daia,Connectez votre aéroport,10,13,30%,3,"DeepTech (IA, Cybersecurity, Cloud, ...)",Provence-Alpes-Côte d’Azur,daia.tech
Knave,Solution 360° de paiement à l'usage en marque blanche,20,26,30%,6,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,knave.eu
Aria,Financement intégré pour les plateformes B2B,66,86,30%,20,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,helloaria.eu
Manager.One,La banque en ligne pour les professionnels.,60,78,30%,18,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,manager.one
Bitstack,Épargner en bitcoin sans aucun effort,33,43,30%,10,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,bitstack-app.com
Swish,Accélérez votre transition vers la mobilité électrique avec Swish,47,61,30%,14,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,swishforgood.com
Aps Agnostic Production Systems,"Rendre la digitalisation accessible à toutes les usines, même les plus petites.",10,13,30%,3,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Occitanie,aps-industry.com
Club Employés,"Plateforme CSE : la solution qui simplifie, valorise et réinvente vos avantages salariés",266,345,30%,79,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,club-employes.com
Sinari,La suite logicielle de référence pour le transport et la logistique,99,128,29%,29,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,sinari.com
Kleep,Le leader mondial de l’IA pour l’e-commerce,14,18,29%,4,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,kleep.ai
Neat Protect,Conçoit et opère des assurances embarquées sur mesure adaptées à chaque secteur.,78,101,29%,23,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Nouvelle-Aquitaine,neat.eu
Bocoloco,Êtes-vous prêt à passer à la nouvelle dimension du réemploi ?,17,22,29%,5,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,bocoloco.fr
Icare Energie,Le pilotage intelligent de vos bâtiments au service de la sobriété énergétique,24,31,29%,7,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Bourgogne Franche Comté,icare-energie.fr
Thunders,"Des agents de test IA qui génèrent, exécutent et analysent",24,31,29%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,thundercode.ai
Bioptimus,Le premier modèle foundation IA universel pour la biologie,28,36,29%,8,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,bioptimus.com
Aletiq,Le PLM nouvelle génération propulsé par l'IA,24,31,29%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,aletiq.com
Dymasco,Passer à des opérations industrielles dynamiques,49,63,28%,14,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Auvergne-Rhône-Alpes,dymasco.com
Juvisé Pharmaceuticals,"Médicaments essentiels, pour préserver les traitements de confiance des médecins",85,109,28%,24,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Auvergne-Rhône-Alpes,juvise.com
Polène,Sacs et Petites Maroquineries - Créativité et savoir-faire d'excellence,346,443,28%,97,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,polene-paris.com
Aisprid,Soutenir les hommes pour les nourrir durablement,25,32,28%,7,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Bretagne,aisprid.com
Ikigai - Games For Citizens,Un consortium national au service de l'innovation pédagogique et de la médiation culturelle & scientifique,25,32,28%,7,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,ikigai.games
Inqom,L’innovation au service des enjeux comptables de demain,85,109,28%,24,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Pays de la Loire,inqom.com
Descartes Underwriting,"Assurance paramétrique pour climat, cyber & risques émergents",196,250,28%,54,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,descartesunderwriting.com
Ringover,Plateforme de communication cloud boosté à l'IA,290,370,28%,80,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,ringover.com
Akur8,Plateforme nouvelle génération de pricing et de provisionnement,74,94,27%,20,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,akur8-tech.com
Scienta Lab,Redéfinir l’immunologie de précision,15,19,27%,4,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,scientalab.com
Open Lake Technology,"Maîtriser l'adoption, la supervision et la conformité de votre téléphonie unifiée",11,14,27%,3,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,open-lake.com
Datapolitics,Dotez vos équipes d’agents IA spécialisés en politiques publiques,11,14,27%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,datapolitics.fr
Vema Hydrogen,Hydrogène minéral conçu par ingénierie,11,14,27%,3,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,vema.earth
Red Alert Labs,Faites confiance à vos produits connectés,26,33,27%,7,"DeepTech (IA, Cybersecurity, Cloud, ...)",Île-de-France,redalertlabs.com
Smartbox France,"Les meilleures expériences ne se vivent pas sur un écran — elles se vivent. Nous connectons les personnes aux moments qui rendent la vie plus riche, plus profonde et plus réelle.",45,57,27%,12,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,smartbox.com
Aerleum,Carburants et produits chimiques synthétiques à partir de rien (dans l’air),15,19,27%,4,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,aerleum.com
Veesion,"Détectez les vols, automatiquement, en temps réel",177,225,27%,48,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,veesion.com
Klara,Développer la performance de chaque acteur terrain pour renforcer le collectif,45,57,27%,12,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,www.klarahr.com
Bohr Energie,Votre agrégateur 3.0 conçu par des producteurs pour des producteurs indépendants professionnels,19,24,26%,5,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Occitanie,bohr-energie.fr
Ausha,La plateforme de croissance podcast nouvelle génération,34,43,26%,9,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Hauts-de-France,ausha.co
Naali,Les gommes anti-stress au safran qui ont fait fureur sur M6,27,34,26%,7,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Auvergne-Rhône-Alpes,naali.fr
Corteria Pharmaceuticals,Thérapies interceptives pour traiter des sous-populations d’insuffisance cardiaque,19,24,26%,5,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,corteriapharma.com
Matcha,Améliorez l’expérience shopper et boostez vos ventes avec un accompagnement personnalisé,27,34,26%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,getmatcha.tech
Didomi,"Gestion du consentement utilisateur transformant la conformité réglementaire en un levier de confiance client, de croissance marketing et de valeur business.",131,165,26%,34,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,didomi.io
Myc,Élevez la performance de l’entreprise grâce à une main-d’œuvre plus sûre et en meilleure santé,66,83,26%,17,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,myc.doctor
Zelty,Digitalisez et pilotez vos restaurants sereinement,47,59,26%,12,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,zelty.fr
Hugging Face,La communauté IA qui construit le futur.,515,649,26%,134,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,huggingface.co
Grinta,"Gérez vos boutiques, packs et commandes club depuis un seul outil",23,8,26%,6,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,grinta.eu
Dessia Technologies,"Générez, vérifiez et validez des designs avec l’IA",27,34,26%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,dessia.io
Ouicoding,Votre partenaire en transformation numérique durable et sécurisée,19,24,26%,5,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,ouicoding.com
Yeswehack,Plateforme globale de bug bounty & de gestion des vulnérabilités,438,552,26%,114,"DeepTech (IA, Cybersecurity, Cloud, ...)",Île-de-France,yeswehack.com
Zama,Créez des applications confidentielles sur n’importe quelle blockchain,156,197,26%,41,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,zama.ai
Finary,Finary est l'application qui vous aide à mieux gérer votre argent.,123,155,26%,32,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,finary.com
Bigblue,Fulfilment pour les marques centrées client,111,140,26%,29,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Occitanie,bigblue.io
Cure51,Techbio française innovante dédiée à trouver un remède contre le cancer à partir de la biologie exceptionnelle de survivants,43,54,26%,11,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,cure51.com
Lehibou,Trouvez le meilleur expert IT pour votre projet parmi les 120 000+ profils disponibles,70,88,26%,18,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,lehibou.com
Abby,Facturation pour facturation électronique,20,25,25%,5,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Grand Est,abby.fr
Feve,Donnez vie à des fermes agroécologiques,20,25,25%,28,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Nouvelle-Aquitaine,feve.co
Tafalgie Therapeutics,Une nouvelle approche pharmaceutique pour traiter la douleur,20,25,25%,5,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Provence-Alpes-Côte d’Azur,tafalgie.fr
Diligo,"Commerçants et e-commerçants, faites livrer en vélos cargos",12,15,25%,3,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,diligo-solutions.com
Brightheart,Une plateforme IA qui accompagne cliniciens et échographistes pour des évaluations expertes standardisées lors des échographies de routine,16,20,25%,4,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,brightheart.fr
Lighton,IA de recherche et de raisonnement derrière votre pare-feu,60,75,25%,15,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,lighton.ai
Dotblocks,La première plateforme de simulation no-code conçue pour accélérer vos workflows d’innovation.,12,15,25%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,dotblocks.fr
Fabulous,Votre partenaire d’engagement dans votre poche pour changer intelligemment et construire de bonnes habitudes,85,106,25%,21,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,thefabulous.co
Exaion,Cloud de confiance,63,79,25%,16,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,exaion.com
Aqemia,"Nouvelle génération de médicaments, au-delà des limites de la découverte conventionnelle et augmentée par l’IA",65,81,25%,16,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,aqemia.com
Make,Solutions aux grandes problématiques actuelles.,540,675,25%,135,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,make.org
Beev Fleet Manager,L'expert de la mobilité électrique pour les entreprises,44,55,25%,11,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,beev.co
Acheel,L’assurance simple et accessible,80,100,25%,20,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,acheel.com
Kanta,Automatisation et conformité : le logiciel tout-en-un pour les experts-comptables,60,75,25%,15,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Normandie,kanta.fr
Openairlines,Accélérer la transition vers une aviation durable grâce à l'IA et au big data,78,97,24%,19,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Occitanie,openairlines.com
Spliiit,"Partagez et réduisez le prix de vos abonnements, en toute sécurité",17,21,24%,4,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Nouvelle-Aquitaine,spliiit.com
Tankyou,Découvrez l’efficacité des flottes ravitaillées sur-mesure,34,42,24%,8,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,tankyou.com
Timeleft,X,70,87,24%,17,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,timeleft.com
Biomemory,Construire un système de stockage de données ADN pour data centers,58,72,24%,14,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,biomemory-labs.com
Nperf Speed Test,Test de débit - speed test : testez la vitesse de votre connexion internet (speedtest),25,31,24%,6,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Auvergne-Rhône-Alpes,nperf.com
Kerlog,Logiciels de gestion et de traçabilité des déchets qui s'adaptent à votre métier,17,21,24%,4,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,kerlog.com
Fastcube,Expert du pilotage de la performance et de la gestion de données.,46,57,24%,11,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,fastcube.fr
Dolead,"Propulsé par l’IA, exploitant des données CRM de qualité, du marketing haute intensité et un parcours utilisateur parfait pour livrer des leads prêts à vendre à un prix par lead aligné sur la qualité",91,113,24%,22,"MarTech (Ad-Tech, Marketing Automation, CRM, DMP & Analytics, SEO, ...)",Île-de-France,dolead.com
Corsica Sole,Déployer l'énergie solaire de manière fiable et durable,132,164,24%,32,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Provence-Alpes-Côte d’Azur,corsicasole.com
Beyond Aero,Libérer tout le potentiel grâce à l’hydrogène,71,88,24%,17,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Occitanie,beyond-aero.com
Astraveus,"Grâce au développement de Lakhesys – la benchtop cell factory®, Astraveus ambitionne de rendre les thérapies cellulaires",55,68,24%,13,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,astraveus.com
Avant De Cliquer,Cybersécurité centrée sur l’humain,54,67,24%,13,"DeepTech (IA, Cybersecurity, Cloud, ...)",Normandie,avantdecliquer.com
Iadys,Robotique et intelligence artificielle pour la dépollution de l’eau,21,26,24%,5,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Provence-Alpes-Côte d’Azur,iadys.com
Legapass,"Legapass, l’allié technologique des notaires",17,21,24%,4,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Provence-Alpes-Côte d’Azur,legapass.com
Shareid,Le hub d’identité conforme à eIDAS 2.0,21,26,24%,5,"DeepTech (IA, Cybersecurity, Cloud, ...)",Île-de-France,shareid.ai
Voodoo,Divertir le monde avec des apps et jeux iconiques,767,951,24%,184,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,voodoo.io
Gleamer,Construire la plateforme IA unifiée la plus avancée pour la radiologie,99,123,24%,24,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,gleamer.ai
Gojob,Agence d'intérim,199,247,24%,48,"DeepTech (IA, Cybersecurity, Cloud, ...)",Provence-Alpes-Côte d’Azur,gojob.com
Corma,Une plateforme pour valider l’accès,29,36,24%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,corma.io
Nexpublica,"Le progrès, pour la société, par la technologie",293,361,23%,68,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,nexpublica.com
Mint Bikes,Le spécialiste du vélo reconditionné.,43,53,23%,10,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Provence-Alpes-Côte d’Azur,mint-bikes.com
Belacom,Votre copilote en marketing automation,35,43,23%,8,"MarTech (Ad-Tech, Marketing Automation, CRM, DMP & Analytics, SEO, ...)",Île-de-France,belacom.fr
Nw,La transition énergétique accessible à tous,247,304,23%,57,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,nw-groupe.fr
Omnidoc,Solution d'échanges entre soignants,44,54,23%,10,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,omnidoc.fr
