Company,Description,Employees 2025,Employees 2026,Growth,Hires,Sector,Headquarters,Website
Toutapprendre,CSE : offrez à vos salariés et leur famille une bibliothèque en ligne,43,53,23%,10,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,toutapprendre.com
Bsport,Le meilleur logiciel pour gérer votre studio et le faire grandir,201,247,23%,46,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,bsport.io
Just,La mutuelle qui prend à la fois soin de votre santé et de votre budget,66,81,23%,15,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,just.fr
Tessan,Faciliter l’accès des patients aux soins médicaux de qualité,126,155,23%,29,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,tessan.io
Animaj,"Entreprise média nouvelle génération créant des marques inspirantes pour enfants et familles, à l’échelle mondiale",71,87,23%,16,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,animaj.com
Gedeon,La retraite n'a jamais été aussi claire !,30,37,23%,7,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Auvergne-Rhône-Alpes,gedeon.io
Seederal Technologies,Électrifier l’agriculture,27,33,22%,6,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Bretagne,seederal.fr
Moodwork,"Découvrez la seule plateforme de santé mentale au travail adaptée à votre secteur, vos métiers et vos problématiques.",23,28,22%,5,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,moodwork.com
Tryon,La méthanisation locale et modulaire pour valoriser les biodéchets alimentaires,23,28,22%,5,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,tryon-environnement.com
La Conciergerie Solidaire,Améliorer et faciliter le quotidien des salariés,73,89,22%,16,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Nouvelle-Aquitaine,conciergerie-solidaire.fr
Soeman,Le CRM made in France et souverain leader du secteur industriel et négoce BtoB,18,22,22%,4,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,soeman.fr
Langa International,"Développe, construit et exploite des installations d’énergies renouvelables.",69,84,22%,15,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Auvergne-Rhône-Alpes,langa-international.com
Vensolair,"Pour vos énergies renouvelables, passons à l’action !",100,122,22%,22,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Occitanie,vensolair.fr
Bulldozer,L’excellence marketing au service de vos ventes,139,170,22%,31,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,bulldozer-collective.com
Zefir,"Grâce à la Vente Collective et à l'IA , une vente immobilère jusqu'à 2x plus rapide.",47,60,22%,13,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,zefir.fr
Displayce,"Displayce, suite technologique pionnière de publicité DOOH, au service des marques, agences media et éditeurs, à l’échelle mondiale",50,61,22%,11,"MarTech (Ad-Tech, Marketing Automation, CRM, DMP & Analytics, SEO, ...)",Nouvelle-Aquitaine,displayce.com
Ramify,"La performance et l’expertise d’une gestion institutionnelle, au service des patrimoines privés exigeants.",20,24,22%,4,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,ramify.fr
Rudder,Automatisez et améliorez votre posture de sécurité IT avec Rudder,18,22,22%,4,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,rudder.io
Docoon,Solutions de digitalisation des workflows et business process,32,39,22%,7,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,docoon.com
Dayuse,Réservez votre hôtel pour quelques heures en journée,69,84,22%,15,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,dayuse.com
Holis,Plateforme interactive d'analyse de cycle de vie et d'éco-conception,14,17,21%,3,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,holis.earth
Orisha,Éditeur européen de logiciels de gestion B2B,1356,1 646,21%,290,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,orisha.com
Secret,Le secret pour économiser gros sur le SaaS,329,416,21%,87,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,mail.joinsecret.com
Avel Robotics,Conception et fabrication de pièces composites nouvelle génération,24,29,21%,5,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Bretagne,avelrobotics.com
Upciti,La donnée au service des villes et des collectivités,34,41,21%,7,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,upciti.com
Sezame,Des expériences exclusives dans des hôtels de prestige,19,23,21%,4,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Provence-Alpes-Côte d’Azur,joinsezame.com
Kamino Retail,La plateforme de monétisation retail media,24,29,21%,5,"MarTech (Ad-Tech, Marketing Automation, CRM, DMP & Analytics, SEO, ...)",Île-de-France,kaminoretail.com
Ouidou,Le développement logiciel au service de votre système d'information,302,365,21%,63,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,ouidou.fr
It Mates,Du cloud à la data en passant par le digital workplace,19,23,21%,4,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,itmates.fr
Illuin Technology,Experts en IA et solutions numériques de pointe,107,130,21%,23,"DeepTech (IA, Cybersecurity, Cloud, ...)",Île-de-France,illuin.tech
Cawl,Expert du paiement et partenaire de votre croissance,33,40,21%,7,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,cawl.fr
Capital Fund Management,Capital fund management CFM - global asset management. - CFM,377,456,21%,79,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,cfm.com
Diabolocom,L'excellence de l'IA au service de chaque interaction client,133,161,21%,28,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,diabolocom.com
Faircraft,La science des matériaux entre dans une nouvelle ère,24,29,21%,5,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,faircraft.bio
Cilcare,Faire de l’audition une priorité,53,64,21%,11,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Occitanie,cilcare.com
Stych,Le plus grand réseau d’auto-écoles,198,239,21%,41,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,stych.fr
Kiln,Démocratiser la création de valeur dans les actifs digitaux,125,151,21%,26,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,kiln.fi
Welyft,L'agence data-marketing qui booste le ROI de vos parcours clients,14,17,21%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,welyft.com
Octomine,La plateforme de sondage collaborateurs qui répond à vos besoins,12,15,21%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,octomine.com
Rzilient,L'expertise IT au service de votre innovation,18,22,21%,4,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,rzilient.club
Rofim,"Plateforme de télémédecine qui centralise la téléexpertise, la téléconsultation et les RCP, pour améliorer la coordination médicale.",42,51,21%,9,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Provence-Alpes-Côte d’Azur,rofim.doctor
Basikon,Le logiciel de prêt et crédit-bail intelligent et 100% API,24,29,21%,5,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,basikon.io
Listen Leon,La reconnaissance pour tous et par tous,15,18,20%,3,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Provence-Alpes-Côte d’Azur,listenleon.com
Quantilia,Solutions sur-mesure de data & reporting,10,12,20%,2,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Provence-Alpes-Côte d’Azur,quantilia.com
Fisio,L’outil ultime pour créer votre CV en ligne,46,55,20%,9,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,fisio.fr
Lore Finance,Immobilier facilité,46,55,20%,9,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Nouvelle-Aquitaine,lore-finance.com
Rumo,Recommandations personnalisées pour plateformes de divertissement,35,42,20%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,rumo.co
Steto,Application qui vous aide à rester maître de votre diabète,10,12,20%,2,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,steto.care
Beev,L'expert de la mobilité électrique pour les entreprises,44,53,20%,9,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,beev.co
Linxea,"Assurance vie, PER et solutions d'épargne à frais réduits",82,98,20%,16,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,linxea.com
Hprobe,Tester wafer-level Hprobe : accélérer le développement et la production d’appareils magnétiques,20,24,20%,4,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Auvergne-Rhône-Alpes,hprobe.com
Ecojoko,Mesurez et optimisez votre consommation d'électricité,25,30,20%,5,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,ecojoko.com
C12,Mener le prochain saut matériaux en informatique quantique,59,71,20%,12,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,c12qe.com
Prozon,Plateforme d'achat pour professionnels,51,61,20%,10,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Provence-Alpes-Côte d’Azur,prozon.com
Lixo,La solution pionnière d’analyse de données pour la collecte des déchets,56,67,20%,11,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,lixo.tech
Ohm Energie,Fournisseur d’éco-énergie,178,213,20%,36,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,ohm-energie.com
Girasole Energies,Énergie photovoltaïque au service de votre activité,74,89,20%,15,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,girasole-energies.com
Fraktion,Optimiser et sécuriser la distribution de vos actifs à vos investisseurs,10,12,20%,2,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,fraktion.fr
Cominty,IA agentique pour le travail,15,18,20%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,cominty.ai
Ideuzo,L'agence de communication RH at_work,66,79,20%,13,"MarTech (Ad-Tech, Marketing Automation, CRM, DMP & Analytics, SEO, ...)",Île-de-France,ideuzo.com
N2Jsoft,Notes de frais • cartes de paiement • factures fournisseurs,153,184,20%,31,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,n2f.com
Unseenlabs,Détection RF depuis l’espace,77,92,20%,15,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Bretagne,unseenlabs.fr
CapCar,Achetez une voiture d'occasion en toute confiance,10,12,20%,2,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,capcar.fr
Locuta,Automatisez l’expérience client conversationnelle à grande échelle,10,12,20%,2,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Nouvelle-Aquitaine,locuta.co
Therasonic,Permettre la délivrance de médicaments vers le cerveau,10,12,20%,2,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,therasonic.fr
Lempire,Lempire est une suite de SaaS qui aide les PME à générer du revenu,10,12,20%,2,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Île-de-France,lempire.com
Chapsvision,Votre parcours IA agentique,238,284,19%,46,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,chapsvision.com
Acwa Robotics,Solutions robotiques pour contrôler votre réseau d’eau potable,21,25,19%,4,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Corse,acwa-robotics.com
Otaree,Logiciel / plateforme de commercialisation de l'immobilier neuf pour professionnels,36,43,19%,7,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,otaree.com
Eshard,Solutions avancées de cybersécurité,42,50,19%,8,"DeepTech (IA, Cybersecurity, Cloud, ...)",Nouvelle-Aquitaine,eshard.com
Diamfab,Libérez la puissance du diamant,31,37,19%,6,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Auvergne-Rhône-Alpes,diamfab.com
Inuse,Réinventez l’industrie intelligente.,16,19,19%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,inuse.eu
Formality,La vision 360° de vos actifs grâce à l'IA,21,25,19%,4,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,formality.com
Ecoat,Solutions pour réduire l’empreinte carbone de vos revêtements et peintures.,53,63,19%,10,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Provence-Alpes-Côte d’Azur,ecoat.fr
Entalpic,Accélérer la R&D en chimie & matériaux,27,32,19%,5,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,entalpic.ai
Himydata,Votre data lakehouse nouvelle génération,21,25,19%,4,"DeepTech (IA, Cybersecurity, Cloud, ...)",Provence-Alpes-Côte d’Azur,himydata.com
Deuxiemeavis,Deuxième avis médical auprès d’un médecin spécialiste de votre maladie en 7 jours,31,37,19%,6,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,deuxiemeavis.fr
Latitude,Smallsats : tracez votre trajectoire vers l’orbite,200,238,19%,38,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Grand Est,latitude.eu
Million Victories,Affichez votre supériorité tactique dans notre RTS en temps réel sans timers !,47,56,19%,9,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Auvergne-Rhône-Alpes,millionvictories.com
Oneflash,La recharge téléphone en libre-service,48,57,19%,9,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,oneflash.fr
Inetum Software,Éditeur français de logiciels et leader du secteur public,429,510,19%,81,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,inetumsoftware.com
Abraxio,Plateforme unique tout-en-un dédiée au management 360° de la DSI,32,38,19%,6,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,abraxio.com
Robeauté,Microrobots neurochirurgicaux,32,38,19%,6,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,robeaute.com
Wandercraft,Robot au service de la mobilité,134,160,19%,26,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Île-de-France,wandercraft.eu
Arnest,Services d’ingénierie et de management de projets pour le secteur de l’énergie.,83,99,19%,16,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,arnest-engineering.com
Skello,Solution RH intelligente des équipes de terrain.,328,390,19%,62,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,skello.io
Hubency,Recycler valoriser préserver,85,101,19%,16,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,hubency.com
Onestock,Gestion des commandes avec le spécialiste de l’order management system.,82,97,18%,15,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Occitanie,onestock-retail.com
Cafeyn,Streaming de titres de presse,110,130,18%,20,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,cafeyn.co
Fredo,Solution simple de vélos partagés avec cadenas connectés,17,20,18%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,fredo.fr
Underdog,Électroménager reconditionné,45,53,18%,8,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Pays de la Loire,underdog.shop
La Brigade De Véro,Livraison de repas diététiques cuisinés - la brigade de Véro,40,47,18%,7,"Distribution & BtoC (RetailTech, e-commerce, Marketplace, Foodtech, Luxury, TravelTech, ...)",Occitanie,labrigadedevero.com
Flexifleet,Solutions clés en main pour les chauffeurs VTC,38,45,18%,7,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,flexifleet.fr
Ypso-Facto,"Développer, évaluer et optimiser des procédés (bio)chimiques",22,26,18%,4,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,ypso-facto.com
Neovision,"IA sur mesure, open-source, scalable.",34,40,18%,6,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Auvergne-Rhône-Alpes,neovision.fr
Memority,Solution IAM : identity and access management | memority,71,84,18%,13,"DeepTech (IA, Cybersecurity, Cloud, ...)",Île-de-France,memority.com
Faibrik,Logiciel de service client construit autour de l’IA,16,19,18%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,faibrik.com
Breega,Prédictions du secteur,45,53,18%,8,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,breega.com
Bluecime,Solutions innovantes en traitement d'images,11,13,18%,2,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,bluecime.com
Ava2I,Ingénierie & innovation — cloud • data • IA,13,15,18%,2,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,ava2i.com
Via Sana,Cabinet médical,49,58,18%,9,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,centreviasana.com
Ekonsilio,"Centralisez vos conversations, automatisez les réponses simples et offrez une expérience client fluide sur tous vos canaux",99,117,18%,18,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Pays de la Loire,ekonsilio.com
Evertrust,Éliminez les pannes de certificats et réduisez les coûts PKI.,45,53,18%,8,"DeepTech (IA, Cybersecurity, Cloud, ...)",Île-de-France,evertrust.fr
Quandela,"Propulsé par le quantique, renforcé par Quandela",110,130,18%,20,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Île-de-France,quandela.com
Matera,Gestion immobilière.,308,363,18%,55,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,matera.eu
Pytheas Capital,Pytheas Capital propose la plateforme technologique treso2,34,40,18%,6,"FinTech (Payment, InsurTech, Crowdfunding, WealthTech, Proptech, Web3, ...)",Île-de-France,pytheascapital.com
Devensys Cybersecurity,Experts en cybersécurité,79,93,18%,14,"DeepTech (IA, Cybersecurity, Cloud, ...)",Occitanie,devensys.com
Treso2 Par Pytheas Capital,Plateforme agréée qui automatise le traitement de vos factures,34,40,18%,6,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,pytheascapital.com
Weefin,Plateforme qui permet aux investisseurs professionnels de regagner en souveraineté sur leurs données ESG et de maximiser leur impact.,99,117,18%,18,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,wee-fin.com
Dattak,Assurance cyber proactive qui allie services de cybersécurité,35,41,18%,6,"DeepTech (IA, Cybersecurity, Cloud, ...)",Île-de-France,dattak.io
Artelys,Programmation mathématique et IA au service de l’efficacité,114,134,18%,20,"Impact (GreenTech, Decarbonation, Energy, Non profit, ...)",Île-de-France,artelys.com
Unipile,"API unifiée pour messagerie, email & agenda",12,14,17%,2,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,unipile.com
Brenus Pharma,Faire passer le système immunitaire un cran devant le cancer,18,21,17%,3,"HealthTech (Health Services, MedTech, Pharma, BioTech, Mental Health, ...)",Auvergne-Rhône-Alpes,brenus-pharma.com
Otami,"Solution pour simplifier vos achats, vos marges et votre production",18,21,17%,3,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Auvergne-Rhône-Alpes,otami.fr
Singulart,Plateforme d'oeuvre d'art,226,264,17%,38,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,singulart.com
Nawah,Matériaux carbone nano-ingéniérés,52,61,17%,9,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Provence-Alpes-Côte d’Azur,nawatechnologies.com
Fleeti,La gestion intelligente de vos véhicules et équipements,72,84,17%,12,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Nouvelle-Aquitaine,fleeti.co
Newzik,Le meilleur de la technologie au service de vos partitions,23,27,17%,4,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,newzik.com
Gsf Astree,Propreté et services,18,21,17%,3,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Auvergne-Rhône-Alpes,gsf.fr
En Voiture Simone,"L’auto-école, sans les galères",121,141,17%,20,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,envoituresimone.com
Verkor,Des batteries. Maintenant. Pour le futur.,794,929,17%,135,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Auvergne-Rhône-Alpes,verkor.com
Skyloud,"Nos experts DevOps vous accompagnent pour construire, optimiser et infogérer votre infrastructure",12,14,17%,2,"DeepTech (IA, Cybersecurity, Cloud, ...)",Auvergne-Rhône-Alpes,skyloud.fr
Sogescot,"Sogescot, partenaire de la transformation numérique et durable des cabinets d'expertise comptable.",23,27,17%,4,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Bretagne,sogescot.com
Growth Room,Agence de growth marketing efficace et vraiment performante.,46,54,17%,8,"BtoB Tools (LegalTech, EdTech, HRTech, Collaborative Tools, CRM, ERP, ...)",Île-de-France,growthroom.co
Eben Home,Le mobilier pour les professionnels et passionnés de design,18,21,17%,3,"Entertainment (Telecom, Media, Sport, Gaming / Bet, Social Network, ...)",Île-de-France,ebenhome.co
Gravithy,Fer durable. Acier plus vert.,35,41,17%,6,"Industry & Supply (Hardware, IoT, Robotics, AR/VR, SpaceTech, Defence, Supply Chain, Mobility & Smart City, AgriTech, ...)",Provence-Alpes-Côte d’Azur,gravitHy.eu
